,(R)-3-Hydroxybutyric acid,acetate,acetoacetate,L-alanine,L-valine,hypoxanthine,citrate,creatinine,L-glutamine,glycine,histidine,L-allo-Isoleucine,isopropanol,L-Lactic acid,L-leucine,lipoproteins,methanol,Dimethyl sulfone,D-phenylalanine,Pyruvic acid,L-tyrosine
2_0289_S,0.0,51.74934657,59.24579868,1509.577011,328.5156543,6.715737442,86.10948177,73.47128343,1161.508277,476.1973545,74.09735314,73.77053245,17.08840477,2701.919012,486.2561656,18391.18491,129.732271,162.8278646,128.42774,92.4729824,123.389078
2_0296_S,25.5524078,89.0634853,155.5417183,1332.203093,291.1438482,11.93030937,118.3875302,100.279114,1154.328032,432.7431629,62.13485933,49.26141674,23.399144,2144.277159,413.1699516,29801.05572,367.0093054,82.07600578,138.4595762,47.67734271,128.538291
2_0304_S,16.87155671,38.64645027,77.64326974,934.8981096,277.7068875,4.217086938,123.1017809,111.3482003,848.1559447,302.96912,54.94058988,49.54706148,10.29277095,1572.460791,382.2278735,24927.04171,350.8424188,34.30562869,110.311203,49.29026205,67.19495343
2_0306_S,4.784217541,60.78195815,75.39287866,1007.236332,215.0748469,6.924584049,68.39785711,116.7613066,1120.077631,421.7974903,68.96437344,46.40147193,87.39208951,2020.636643,340.2466839,22574.86208,211.6626683,227.241056,146.8075952,65.36223676,104.6396916
2_0309_S,30.16890854,40.20985375,85.88279396,958.6368139,177.1180734,3.485653809,124.3449383,92.39524685,995.0400954,468.7265546,56.0060137,33.07921746,68.05166181,1168.399603,101.5404924,28863.04019,70.14018887,33.98780014,87.73015603,48.77278497,77.67518013
2_0311-S,0.0,49.37995382,24.6758621,1366.863525,212.9610243,7.822240219,111.9438953,141.2080039,923.724238,402.9657555,49.77691881,34.91773845,36.04634432,1651.309316,140.2954924,34497.25102,201.7623023,48.14858022,88.85897011,88.30145909,112.9739268
2-0322-S,0.0,32.13611272,38.36503682,1589.578594,304.7287388,7.274718705,114.2696838,150.0323585,1140.126101,437.5925153,61.74491371,60.55701788,19.01442125,2954.606573,493.0574772,29265.36613,191.7930753,147.5448493,147.8117634,54.39401006,112.4330643
2_0323_S,24.06346308,68.48184537,98.14999531,664.5101839,193.3585774,2.854600394,102.2582303,80.43436577,812.3926536,318.099687,51.3977178,28.50671569,18.92258075,1093.64644,137.8783054,23528.80602,124.2275442,34.47644399,125.457069,84.09085223,75.7810723
2_0330-S,1.645241324,32.22993391,31.94026796,1069.721038,282.6580472,3.849130437,189.3356015,120.5458013,1239.253753,395.196383,60.49609167,45.36057138,31.30240661,1203.361386,425.2491355,21602.61124,160.1865706,46.6784851,138.162833,69.09471467,103.6029418
2_0346-S,8.447975141,56.58709216,41.38538207,1242.457036,229.1919775,5.838684675,139.4510189,108.3199744,1258.093911,416.728096,60.62748072,38.73496548,21.35094978,2666.454577,249.8188431,27306.13529,342.5291772,250.9287821,142.8315264,66.58529812,111.3224188
